,id_site,t,sens,nb_usagers,label,trajectoire,voie,id_trajectoire,coordonnees_geo,mode
62,10081,2023-05-20T06:00:00+00:00,,274,,2 -> 2,,10081_2 -> 2,,"Véhicules légers < 3,5t"
63,10081,2023-05-20T06:00:00+00:00,,24,,2 -> 2,,10081_2 -> 2,,"Véhicules lourds > 3,5t"
64,10081,2023-05-20T08:00:00+00:00,,19,,1 -> 1,,10081_1 -> 1,,2 roues motorisées
65,10081,2023-05-20T08:00:00+00:00,,26,,1 -> 1,,10081_1 -> 1,,"Véhicules lourds > 3,5t"
66,10081,2023-05-20T08:00:00+00:00,,11,,2 -> 2,,10081_2 -> 2,,"Véhicules lourds > 3,5t"
67,10081,2023-05-20T09:00:00+00:00,,112,,2 -> 2,,10081_2 -> 2,,Trottinettes + vélos
68,10081,2023-05-20T10:00:00+00:00,,13,,2 -> 2,,10081_2 -> 2,,"Véhicules lourds > 3,5t"
69,10081,2023-05-20T12:00:00+00:00,,22,,2 -> 2,,10081_2 -> 2,,Trottinettes
70,10081,2023-05-20T15:00:00+00:00,,397,,1 -> 1,,10081_1 -> 1,,"Véhicules légers < 3,5t"
71,10081,2023-05-20T16:00:00+00:00,,78,,2 -> 2,,10081_2 -> 2,,2 roues motorisées
72,10081,2023-05-20T17:00:00+00:00,,18,,1 -> 1,,10081_1 -> 1,,Trottinettes
73,10081,2023-05-20T18:00:00+00:00,,6,,1 -> 1,,10081_1 -> 1,,Autobus et autocars
74,10081,2023-05-20T18:00:00+00:00,,4,,2 -> 2,,10081_2 -> 2,,Autobus et autocars
75,10081,2023-05-20T18:00:00+00:00,,67,,2 -> 2,,10081_2 -> 2,,2 roues motorisées
76,10081,2023-05-20T19:00:00+00:00,,2,,2 -> 2,,10081_2 -> 2,,"Véhicules lourds > 3,5t"
77,10081,2023-05-20T21:00:00+00:00,,67,,1 -> 1,,10081_1 -> 1,,2 roues motorisées
78,10081,2023-05-20T21:00:00+00:00,,17,,1 -> 1,,10081_1 -> 1,,Trottinettes
79,10086,2023-05-19T22:00:00+00:00,,7,,4 -> 3,,10086_4 -> 3,,Autobus et autocars
80,10086,2023-05-20T04:00:00+00:00,,24,,3 -> 2,,10086_3 -> 2,,"Véhicules lourds > 3,5t"
81,10086,2023-05-20T05:00:00+00:00,,25,,3 -> 2,,10086_3 -> 2,,"Véhicules lourds > 3,5t"
82,10086,2023-05-20T06:00:00+00:00,,45,,1 -> 1,,10086_1 -> 1,,Trottinettes + vélos
83,10086,2023-05-20T09:00:00+00:00,,25,,4 -> 3,,10086_4 -> 3,,2 roues motorisées
84,10086,2023-05-20T09:00:00+00:00,,3,,1 -> 1,,10086_1 -> 1,,Trottinettes
85,10086,2023-05-20T11:00:00+00:00,,19,,3 -> 2,,10086_3 -> 2,,Trottinettes + vélos
86,10086,2023-05-20T12:00:00+00:00,,1,,2 -> 1,,10086_2 -> 1,,Trottinettes + vélos
87,10086,2023-05-20T14:00:00+00:00,,11,,3 -> 2,,10086_3 -> 2,,Trottinettes + vélos
88,10086,2023-05-20T14:00:00+00:00,,528,,3 -> 2,,10086_3 -> 2,,"Véhicules légers < 3,5t"
89,10086,2023-05-20T16:00:00+00:00,,127,,1 -> 1,,10086_1 -> 1,,Trottinettes + vélos
90,10086,2023-05-20T21:00:00+00:00,,4,,1 -> 1,,10086_1 -> 1,,Trottinettes
91,10004,2023-05-20T22:00:00+00:00,E-O,9,[Paris] Rivoli x Nicolas Flamel,2 -> 1,Piste cyclable,10004_2 -> 1,"[48.858273, 2.349109]",Trottinettes
92,10004,2023-05-20T23:00:00+00:00,E-O,6,[Paris] Rivoli x Nicolas Flamel,2 -> 1,Piste cyclable,10004_2 -> 1,"[48.858273, 2.349109]",Vélos
93,10004,2023-05-21T06:00:00+00:00,E-O,3,[Paris] Rivoli x Nicolas Flamel,5 -> 3,Voie de circulation générale,10004_5 -> 3,"[48.858273, 2.349109]",Vélos
94,10004,2023-05-21T11:00:00+00:00,E-O,273,[Paris] Rivoli x Nicolas Flamel,4 -> 2,Coronapiste,10004_4 -> 2,"[48.858273, 2.349109]",Vélos
95,10004,2023-05-21T14:00:00+00:00,E-O,1,[Paris] Rivoli x Nicolas Flamel,4 -> 2,Coronapiste,10004_4 -> 2,"[48.858273, 2.349109]","Véhicules lourds > 3,5t"
96,10004,2023-05-21T15:00:00+00:00,E-O,1,[Paris] Rivoli x Nicolas Flamel,4 -> 3,Voie de circulation générale,10004_4 -> 3,"[48.858273, 2.349109]",Vélos
97,10004,2023-05-21T15:00:00+00:00,E-O,215,[Paris] Rivoli x Nicolas Flamel,5 -> 3,Voie de circulation générale,10004_5 -> 3,"[48.858273, 2.349109]","Véhicules légers < 3,5t"
98,10004,2023-05-21T17:00:00+00:00,O-E,457,[Paris] Rivoli x Nicolas Flamel,1 -> 1,Piste cyclable,10004_1 -> 1,"[48.858273, 2.349109]",Vélos
99,10004,2023-05-21T19:00:00+00:00,E-O,19,[Paris] Rivoli x Nicolas Flamel,2 -> 1,Piste cyclable,10004_2 -> 1,"[48.858273, 2.349109]",Vélos
